iter	Passed	Remaining
0	147	147503
1	148	73970
2	148	49460
3	149	37197
4	149	29838
5	150	24924
6	150	21413
7	151	18781
8	151	16733
9	152	15093
10	152	13752
11	153	12636
12	153	11691
13	154	10880
14	155	10180
15	155	9566
16	156	9023
17	156	8540
18	157	8108
19	157	7719
20	158	7367
21	158	7047
22	159	6755
23	159	6487
24	160	6241
25	160	6015
26	161	5805
27	161	5610
28	162	5428
29	162	5258
30	163	5099
31	163	4950
32	164	4810
33	164	4678
34	165	4554
35	165	4436
36	166	4325
37	166	4220
38	167	4120
39	167	4026
40	168	3935
41	168	3849
42	169	3767
43	169	3689
44	170	3614
45	170	3542
46	171	3473
47	171	3407
48	172	3344
49	172	3284
50	173	3226
51	173	3170
52	174	3117
53	175	3066
54	175	3017
55	176	2969
56	176	2922
57	177	2878
58	177	2834
59	178	2793
60	178	2752
61	179	2713
62	179	2676
63	180	2639
64	181	2604
65	181	2569
66	182	2536
67	182	2500
68	182	2468
69	183	2438
70	184	2408
71	184	2379
72	185	2351
73	185	2324
74	186	2297
75	186	2271
76	187	2246
77	187	2221
78	188	2197
79	189	2174
80	189	2152
81	190	2130
82	190	2108
83	191	2087
84	191	2065
85	192	2045
86	192	2023
87	193	2004
88	193	1985
89	194	1967
90	195	1948
91	195	1931
92	196	1913
93	196	1896
94	197	1880
95	197	1864
96	198	1848
97	199	1832
98	199	1816
99	200	1801
100	200	1787
101	201	1770
102	201	1756
103	202	1743
104	203	1732
105	204	1721
106	204	1709
107	205	1696
108	206	1684
109	206	1671
110	207	1659
111	207	1647
112	208	1635
113	208	1623
114	209	1612
115	209	1600
116	210	1589
117	211	1578
118	211	1566
119	212	1555
120	212	1545
121	213	1534
122	213	1522
123	214	1512
124	214	1502
125	215	1493
126	215	1483
127	216	1473
128	216	1464
129	217	1455
130	218	1446
131	218	1437
132	219	1428
133	219	1420
134	220	1411
135	220	1403
136	221	1395
137	221	1386
138	222	1378
139	223	1371
140	223	1363
141	224	1355
142	224	1347
143	225	1340
144	226	1333
145	226	1325
146	227	1318
147	227	1311
148	228	1304
149	229	1298
150	229	1291
151	230	1284
152	230	1278
153	231	1272
154	232	1265
155	232	1259
156	233	1253
157	234	1247
158	234	1241
159	235	1235
160	235	1229
161	236	1223
162	237	1217
163	237	1211
164	238	1206
165	238	1200
166	239	1194
167	240	1189
168	240	1183
169	241	1178
170	241	1173
171	242	1167
172	243	1162
173	243	1157
174	244	1151
175	244	1146
176	245	1141
177	246	1136
178	246	1131
179	247	1126
180	247	1120
181	248	1115
182	248	1110
183	249	1106
184	250	1101
185	250	1096
186	251	1092
187	251	1087
188	252	1082
189	253	1078
190	253	1074
191	254	1069
192	254	1065
193	255	1060
194	255	1056
195	256	1052
196	257	1048
197	257	1043
198	258	1039
199	258	1035
200	259	1031
201	260	1027
202	260	1023
203	261	1019
204	261	1015
205	262	1011
206	263	1007
207	263	1004
208	264	1000
209	264	996
210	265	992
211	266	989
212	266	985
213	267	981
214	267	977
215	268	974
216	268	970
217	269	966
218	270	963
219	270	960
220	271	956
221	272	953
222	272	950
223	273	946
224	273	943
225	274	940
226	275	937
227	275	933
228	276	930
229	277	927
230	277	924
231	278	921
232	278	918
233	279	914
234	280	911
235	280	908
236	281	905
237	281	902
238	282	899
239	282	896
240	283	893
241	284	890
242	284	887
243	285	884
244	285	881
245	286	878
246	287	875
247	287	872
248	288	869
249	288	866
250	289	863
251	290	860
252	290	858
253	291	855
254	291	852
255	292	849
256	292	847
257	293	844
258	294	841
259	294	838
260	295	836
261	295	833
262	296	830
263	297	828
264	297	825
